R,F,M
884,1,3999
806,1,1299
790,1,10
823,1,5199
709,1,9.9
693,1,49
825,16,13741.1
916,4,568.3
612,1,2499
815,1,4199
653,1,3699
717,1,111
860,1,1786
772,1,59
615,1,189
726,1,2799
819,1,1
871,1,428
751,1,458
689,1,7666
789,1,99
928,3,3116
794,1,339
698,4,131137
812,1,1
703,1,188
928,3,206.9
612,1,158
782,1,95
746,1,199
808,1,99
881,1,317
684,1,1766
685,1,189
712,1,6168
819,1,2078
880,1,65
693,1,236
753,1,5699
884,1,208
705,1,888
702,1,2199
631,1,19
645,1,96
627,1,1369
890,1,59
914,4,1021
750,1,51
819,1,207
863,1,788
808,1,219
915,4,1947.2
801,1,679
922,3,8926
656,1,89
921,4,766.9
687,1,2988
625,1,1
681,1,39
923,3,273.8
749,1,39
612,1,3966
899,1,1459
626,1,19.8
614,1,1117
618,1,3145
812,1,828
869,1,3099
694,2,13178
681,1,126
768,1,259
887,1,399
703,1,650
897,1,5599
718,1,3966
622,1,118
736,1,49
767,1,87
920,4,1475.5
794,1,4498
811,1,5
762,1,18.5
787,1,99
822,1,25
815,1,188
661,1,788
770,1,699
758,1,649
682,1,109
878,1,3588
864,1,35
914,4,2771
761,2,633.9
763,1,936
728,2,3591
761,2,176
893,1,45
784,1,378
698,2,398.8
654,1,199.4
744,1,294.9
625,1,199.4
755,1,199.4
820,1,4599
689,1,249
743,1,788
699,1,1439
796,1,3999
900,10,5254.67
874,1,649
804,1,79
722,1,248
682,1,96
814,1,2998
794,1,299
754,1,428
688,1,39
781,1,339
712,1,3148
784,1,999
925,3,702
649,1,3566
872,1,249
727,1,379
729,1,48.5
724,1,399
816,1,3399
920,4,2600
693,1,10.1
820,1,498
758,1,600
792,1,399
867,1,718
797,1,48.5
677,1,5278
826,16,24994
875,1,329
684,4,618.9
644,1,95
688,1,105
702,1,19
895,1,105
867,1,96
631,1,3099
752,2,1223
892,1,159
786,1,4499
688,1,1350
802,1,59
631,1,56
742,1,5818
918,4,1831.8
874,1,99
768,5,3240
818,1,3876
613,1,369
806,24,35906.7
878,1,3458
697,1,10899
709,1,1530
744,1,1798
618,1,1399
810,1,5
759,1,7966
729,1,7889
677,1,9
733,11,4069.4
821,1,699
899,1,249
744,1,3966
737,1,699
644,1,4049
892,1,2480
815,1,29.9
863,1,19
718,1,5799
646,1,2788
761,1,990
680,1,98.5
784,2,258
774,2,557
874,1,159
921,4,2617.5
685,1,122
773,1,66
743,1,109
868,1,2364
760,2,378
644,1,1637
811,1,7498
760,1,3999
729,1,25
683,1,19.5
662,1,9897
729,1,517
817,1,1076
698,1,9.9
872,1,4519
715,1,199
771,3,367
620,1,3966
685,1,1818
644,1,4299
793,1,159
654,1,110.7
863,1,299
925,3,5522
752,1,5789
660,1,594
707,1,3588
717,1,62
690,1,5
826,16,20698.9
713,1,159
801,1,238
723,1,89
725,1,1
729,1,9497
657,1,39
609,1,29
798,1,1299
869,1,239
609,1,5699
611,1,3599
725,1,7280
871,1,298
701,1,4348
917,4,4982.8
914,4,4646.6
743,1,839
870,1,96
652,1,639
631,1,9888
821,1,1
799,1,6088
894,1,96
736,1,680
788,1,99
612,1,21
742,1,8198
626,1,1748
925,3,331
762,1,269
768,1,2988
700,2,1397
752,1,3849
697,1,20
929,3,263.1
773,1,377
917,4,8889.1
701,1,128
917,4,490
663,1,219
622,1,499
866,1,19.8
861,1,1999
890,1,148
879,1,2168
755,1,189
718,1,8379
720,1,98
611,1,59
744,1,5
651,1,688
865,1,159
894,1,448
730,1,3099
780,1,54.9
681,1,299
713,1,25
665,1,3232
615,2,2048
627,1,2699
724,1,399
743,1,4499
743,1,19
699,1,8299
648,1,212.9
610,1,2499
631,1,2199
645,2,88
624,1,3288
791,1,4988
888,1,7899
790,1,39
679,1,96
683,1,1545
683,2,1734
623,1,289
864,1,2928
657,1,750
782,1,5
774,1,7966
692,1,49.5
888,1,1848
701,1,49
609,1,2399
798,1,3579
659,1,1848
654,1,198.6
619,1,97
617,1,2698
893,1,227
685,1,25
825,16,8682.6
873,1,199.4
682,1,199.4
806,1,5999
761,1,25
700,1,10
877,1,199
877,1,199
664,1,199
703,1,4099
685,1,59
889,1,2099
610,1,72
873,1,4399
889,1,59
628,1,199
863,1,69
697,1,119
751,1,2098
663,1,199
927,3,1298
727,1,49
797,1,898
720,1,2566
615,1,54
820,1,888
744,1,999
784,1,599
663,1,79
766,1,3966
773,1,1818
757,1,288
891,1,1838
701,1,1999
808,1,3488
679,1,3179
803,1,1
685,1,290
737,1,799.5
610,12,5579.8
787,2,336
871,1,2388
691,1,98
690,1,3179
805,1,4699
743,1,298
728,1,199
710,2,13
630,1,89
680,1,449
866,1,1399
698,1,399
685,1,17.9
888,1,48.5
698,1,4078
784,1,95
776,1,95
730,1,48.5
610,1,95
875,1,48.5
746,1,95
899,1,97
863,1,97
684,1,97
875,1,97
646,2,192
763,1,97
709,1,48.5
810,2,143.5
915,4,294
750,1,95
705,1,48.5
629,1,97
643,1,97
753,1,97
614,1,97
810,1,97
609,1,48.5
793,1,95
708,1,97
662,1,95
877,1,48.5
697,1,97
654,1,95
889,1,97
807,1,95
658,1,95
814,1,1496
659,1,1788
803,1,5297
820,4,2098.9
817,1,44
878,1,1299
887,1,799
648,1,119
688,1,89
804,1,620
816,1,220
795,1,96
619,1,119
741,1,55
759,1,798
887,1,189
929,3,8185
779,1,249
892,1,13299
785,2,258
624,1,136
626,1,99
629,1,99
708,1,49
728,1,159
920,4,10286.5
677,1,3399
659,1,330.8
802,1,489
783,1,59
727,1,96
745,5,10959.9
797,1,78
823,1,3289
759,1,3999
879,1,5149
778,1,569
720,1,299
885,1,50
612,2,3848
692,1,5789
687,1,49.5
731,1,42
790,1,3499
710,1,3588
740,1,2999
888,1,299
745,1,239
627,2,188
665,1,3988
818,1,1548
917,4,14276.4
821,1,29
688,1,19.8
810,1,499
922,3,520
868,1,3399
749,1,39
743,1,1690
794,1,1
773,1,4299
684,1,68
760,1,49
781,1,5699
864,1,3098
770,1,1499
695,1,198
655,1,2699
810,1,338
809,1,4299
662,1,39
706,1,7280
701,1,3599
609,1,249
921,4,8925
897,1,5999
788,1,95
814,1,39.9
714,1,1298
659,1,499
683,1,499
893,1,2298
783,2,3220
915,4,4661
875,1,39.9
621,1,999
915,4,4566.9
644,1,1728
780,1,1997
899,1,3799
799,1,3488
793,1,39
748,1,2289
780,1,3399
626,1,299
741,1,8488
864,1,1139
760,1,3199
684,1,2588
926,3,1146
812,1,1080
892,1,1818
741,1,99
772,1,79
913,4,10573
684,1,799.5
866,1,199
710,1,19.3
705,1,2999
913,4,237.7
814,1,139.9
868,1,3566
805,1,59.9
913,4,4853
782,1,3999
745,1,169
684,1,398
756,1,2799
818,1,399
893,1,1479
781,1,69
612,1,79
609,1,88
614,1,1459
698,4,4685
879,1,69
822,1,59
776,1,358
679,1,99
655,1,999
734,1,49
816,1,298
644,1,4488
893,1,49
621,1,898
661,1,2098
747,1,2098
734,1,2098
619,1,999
886,1,3439
656,1,58
616,3,7393
860,1,69
687,1,3188
612,1,499
648,1,1699
893,1,722
660,1,8288
618,1,283.8
750,1,99
774,1,3999
819,1,799
809,1,198
874,1,350
649,1,29.9
646,1,990
661,1,5
880,1,3199
772,1,4196
652,1,119
616,1,49
721,1,299
619,1,898
789,1,368
692,1,1598
730,1,299
760,1,2948
918,4,393.9
869,1,158
881,1,1698
652,1,4017
762,1,3999
695,1,398
773,1,50
919,4,7317
866,1,39
750,1,3069
760,1,5999
714,1,1599
700,1,256
824,16,6824.6
776,1,3199
807,1,522
679,1,649
785,1,2099
881,1,1599
890,1,79
804,1,1789
719,1,388
770,1,8099
776,1,69.9
686,1,96
722,1,1
889,1,1
820,1,199
703,1,1
756,1,1
710,1,1
609,2,164
893,1,4049
752,1,990
665,1,5199
615,1,289
822,1,3799
644,1,139
877,1,788
693,1,1249
929,3,4364.1
677,1,10
687,1,199
790,1,39
613,1,199
686,2,238
800,1,828
867,1,6358
922,3,6079
779,1,49
922,3,5547
810,1,3799
689,1,1480
791,1,299
698,1,3999
649,1,5078
715,1,1942
871,1,486
864,1,149
713,1,3148
929,3,7341.8
621,1,88
915,4,4180
628,1,308
744,1,3948
713,1,368
658,1,1499
658,1,259
898,1,4786
663,1,39.9
744,1,666
685,1,2299
914,4,6556
665,1,3232
692,1,45.8
823,1,59
927,3,1754
898,1,59
810,1,3588
745,1,95
882,1,168
711,1,399
609,1,998
806,1,4199
721,1,2349
714,2,118
697,1,3139
650,1,98
928,3,1146.9
710,1,342
626,1,99
895,1,99
759,1,59
744,1,99
793,1,623
651,1,6196
701,1,3199
777,1,3199
615,1,2450
917,4,9800
738,1,199.4
621,1,199.4
726,1,349
652,1,2899
679,1,3216
733,1,1548
629,1,3049
800,1,788
690,1,1588
649,1,11
900,11,6962.8
785,1,5078
876,1,389
647,1,798
804,1,359
726,1,896
875,1,98
614,1,2499
650,1,299
765,1,96
700,1,1299
765,1,109
722,1,3699
751,1,438
695,1,3179
868,1,5078
662,1,299
681,1,55
823,1,4898
651,1,5799
656,1,170
613,1,49
651,1,49
704,1,3999
683,1,109
753,1,39
728,1,39
918,4,5574.9
698,1,3087
712,1,1999
696,1,599
777,1,5
730,1,39.9
680,1,2988
697,1,139
873,1,59
815,1,119.8
653,1,3079
805,1,999
689,1,45
724,1,465
773,1,1299
617,1,459
761,1,1398
865,1,1289
754,1,398
737,1,299
789,1,99
873,1,349
884,1,2999
620,1,19
708,1,68
735,1,2999
760,1,3498
623,1,3148
885,1,1499
772,1,3088
627,1,347
782,1,39
731,1,598
792,1,4898
815,1,1750
710,1,449
709,1,189
864,1,409
716,1,7899
922,3,4036
716,1,299
906,14,12687.7
897,1,39
801,1,39
930,3,3503.1
609,1,278
663,1,39.9
613,1,39.9
632,1,129
649,1,19.8
921,4,155.1
629,1,396
805,1,499
755,1,199
894,1,1999
898,1,99
915,4,531
644,1,3699
816,1,399
760,1,348
794,1,96
817,1,96
648,1,96
730,1,99
733,1,788
792,1,39.9
806,1,4599
918,4,5575.9
796,1,799.5
782,1,22
732,1,139
723,1,169
682,1,169.5
759,1,888
629,1,10.1
735,1,1527
717,1,2098
914,4,407
785,1,9488
795,1,449
703,1,1848
722,1,2439
646,1,867
748,1,2
723,1,1299
871,1,799
687,1,3488
664,1,999
924,3,338
870,1,188
622,1,998
617,5,10532.9
776,1,99
763,1,1997
680,1,1699
794,1,29
822,1,179
876,1,79
917,4,833
795,1,139
694,1,89
614,1,4389
684,1,3999
614,1,104
768,1,788
895,1,999
917,4,585
625,1,6748
823,1,1398
917,4,5087.9
892,1,1
622,1,2408
682,1,268
783,1,4166
921,4,672
615,1,109
929,3,22534
648,1,3
815,1,3
661,1,49
690,2,13395
734,1,99
679,1,2086
690,1,199.4
819,1,357
647,2,16098
806,1,427
614,1,289
663,2,3883
879,1,428
735,1,2288
896,1,48.5
876,1,101.9
757,1,2799
725,2,1858
777,1,1248
763,1,278
865,1,49
795,1,55
743,1,1299
725,1,89
628,1,2199
800,1,137
894,1,3580
721,1,39
782,1,269
692,1,1
893,1,2198
685,1,99
870,1,97
682,1,199.4
774,1,1878
656,1,2499
646,1,32.8
612,1,3999
865,1,639
876,1,81.5
786,1,498
688,1,1288
779,1,99
808,1,101.5
625,1,3497
897,1,95
787,1,48.5
627,1,95
700,1,95
774,1,95
609,2,192
861,1,95
880,1,95
678,1,97
611,2,192
749,1,95
716,1,48.5
780,1,97
748,1,97
711,1,97
721,1,97
809,2,143.5
626,2,192
873,1,97
765,1,95
657,2,192
917,4,250.5
630,1,95
918,4,5281
690,1,97
864,1,95
711,1,97
684,1,97
767,1,97
703,1,95
617,1,95
815,1,48.5
756,1,95
782,1,95
879,1,48.5
802,1,95
751,1,95
652,1,88
751,1,1499
926,3,336
867,1,189
759,1,6799
653,2,378
860,1,39
666,1,3
700,1,99.8
898,1,4166
685,1,188
720,1,9.9
866,1,5798
900,11,9689.1
658,1,158
804,1,325
915,4,4859
729,1,4348
822,1,359
877,1,4099
690,1,98
707,1,499
723,1,10799
625,1,3799
718,1,79
750,1,88
653,1,299
609,1,39
774,1,199
658,1,599
767,1,96
809,1,4798
906,13,19645
728,1,3299
889,1,79
728,1,13449
771,1,59
731,1,139
822,1,4166
766,1,3588
894,1,95
870,1,9.9
727,1,479.7
741,1,99
819,1,698
898,1,3799
805,1,99
890,1,3799
705,1,99
754,1,479.7
820,1,768
617,1,459
925,3,278.1
735,1,2948
687,2,3194
645,1,219
888,1,2638
786,1,4199
627,1,89
730,1,99
922,3,4776
621,2,7487
618,1,2948
749,1,2998
735,2,1085
613,1,18.9
765,1,119
825,16,13942
878,1,399
643,1,48.5
809,1,299
890,1,3198
703,1,5999
864,1,6589
718,1,39
894,1,3188
651,1,199
702,1,5
823,1,39
764,1,299
918,4,4831
754,1,28.9
870,1,48
624,1,179
729,1,4448
621,1,2598
779,17,8697.9
868,1,359
819,1,4299
892,1,3999
896,1,1288
817,1,3788
889,1,208
764,1,65
876,1,3049
718,1,3999
736,1,4888
720,1,3699
919,4,438.8
787,1,1
705,1,59
923,3,678
732,1,3137
889,1,688
885,1,308
702,1,249
616,1,99
611,1,3699
690,1,39
736,1,108
658,1,95
754,1,139
677,1,36
685,1,917.4
906,1,5789
867,1,998
710,1,2580
714,6,623
702,1,375
748,2,3193
738,2,3884
776,1,2098
825,16,23933.8
766,1,2098
807,1,2098
775,1,2098
691,1,2098
712,1,2098
700,1,85
698,1,2
613,1,119
696,1,1496
730,1,499
803,1,139
630,2,7768
738,1,49
682,1,299
801,1,159
771,1,999
743,1,79
861,1,2299
900,10,6004.1
644,2,5998
743,1,96
747,1,128
718,1,89
628,1,96
698,1,96
609,1,1
666,1,1799
892,1,3099
807,1,3588
716,1,17.9
643,1,576
723,1,199
924,3,3445
753,1,5
810,1,49.3
694,1,79
820,1,199
889,1,199
618,1,1238
811,1,1
913,4,362.9
771,2,17976
802,1,699
795,1,1548
763,1,378
687,1,3588
793,1,234
753,1,289
681,1,59
690,1,200.8
654,1,7699
870,1,79
746,1,7999
731,1,899
699,1,1999
699,2,104
713,1,85
751,1,179
688,1,158
919,4,3061
925,3,9495.9
815,1,5799
788,1,98
715,1,29.9
733,1,59.9
790,1,189
794,1,1058
714,1,59
914,4,9682
776,1,89
914,4,2557.6
713,1,7966
897,1,89
890,1,1576
717,1,369
808,1,5888
656,1,2599
617,2,108.9
653,1,4049
880,1,99
660,1,199
871,1,48.5
870,1,498
769,1,25
794,1,1041.5
741,1,99
818,1,149
919,4,7126.9
704,1,3199
774,1,2599
765,1,55
740,1,999
682,1,199
919,4,1575
692,1,4389
739,1,478
628,1,96
924,3,506
685,1,3380
710,1,2998
724,1,39.9
882,1,1098
870,1,1
740,1,96
659,1,99
665,1,146
884,1,5999
715,1,3588
801,1,4288
895,1,97
763,1,598
713,1,99
815,2,6698
879,1,1
819,1,1388
684,1,3149
803,1,97
915,4,4696.3
609,1,4188
889,1,31.9
921,4,2705
712,1,849
689,2,3297
651,2,59.8
886,1,138
744,5,8102
881,1,44
628,1,1139
703,1,3699
779,1,2299
815,1,828
923,3,4486
741,5,919
701,1,1399
688,1,39.9
749,1,3199
659,1,12878
880,1,848
812,1,139
783,1,59
823,1,26
878,1,1599
746,1,999
731,1,159
621,1,3488
891,1,1499
685,1,429
742,1,139
748,1,1766
819,1,39
744,1,3688
694,1,98
769,1,56
863,1,95
628,3,386
804,1,3966
717,1,2988
876,1,799
798,1,96
619,2,5996
657,1,1788
921,4,8625.9
788,1,3966
727,1,119
652,1,96
868,1,5818
928,3,743
716,1,1999
609,1,498
648,1,5
789,2,128.9
791,1,2699
820,1,5818
712,1,4299
884,1,5
691,1,3148
870,1,48.5
689,1,189
665,1,5199
863,1,379
756,1,2298
914,4,7005
767,1,998
618,1,69
860,1,97
871,1,55
877,1,39
686,1,1848
683,1,3079
759,1,29
645,1,79
656,1,169
872,1,788
784,1,69
728,1,289
735,1,989
798,1,19
919,4,3754.6
799,1,39
915,4,2471.5
892,1,429
890,1,84.5
921,4,597.7
750,1,238
709,1,78
880,1,2399
871,1,338
821,1,269
785,1,3699
765,1,646
927,3,9696
863,1,44
749,1,339
825,16,13788.3
721,1,3588
818,1,3232
688,1,3949
779,1,3899
784,1,95
751,1,96
781,1,1
893,1,96
777,1,96
826,16,10309.9
688,1,2799
630,1,232
818,1,129
913,4,333.9
773,1,2027
756,1,3439
786,1,638
773,1,469
920,4,514.5
699,1,3
782,2,284
766,1,346
758,1,599
667,9,4965.3
736,2,4865
773,1,1999
889,1,99
813,1,39
871,1,3999
867,1,188
623,1,199
688,1,2388
756,1,3232
615,1,119
875,1,199
666,1,169
752,1,128
794,1,178
799,1,59
786,1,29.9
610,1,129
705,1,19
687,1,139
718,1,109
916,4,3456
690,1,59
739,1,3588
702,1,9.9
746,1,49
873,1,178
700,1,4298
746,1,7399
706,2,2918
740,1,99
680,1,95
721,1,6226
895,1,3299
814,1,99
897,1,49
807,1,328
666,2,155
677,1,86
885,1,618
793,1,2999
616,2,1758
654,1,138
683,1,199
664,1,38
758,1,1097
785,1,1938
717,1,1938
682,1,147
712,1,199.4
704,1,3198
755,1,3550
647,1,328
613,1,2588
723,1,4088
875,1,798
689,1,398
644,1,4499
711,1,39
609,1,898
877,1,2499
804,1,899
766,1,356
872,1,157
808,1,8199
709,2,1838
722,1,88
677,1,3966
704,1,688
923,3,337.9
816,1,3899
797,1,403.9
764,1,3699
611,2,418
750,1,79
704,1,1120
708,1,2899
681,1,3
656,1,69.8
709,1,7199
724,2,4265
697,1,109
680,2,137
741,1,3588
916,4,6291
773,1,3199
684,1,1818
915,4,1396
681,1,35
731,1,4498
729,1,89
693,1,39
879,1,178
736,1,56
776,1,3966
623,1,459
751,1,168
693,1,39
632,2,3998
823,1,1249
656,1,564
791,1,1932
915,4,7341
693,1,1799
888,1,69
700,1,57
804,1,97
921,4,5552.1
667,1,79
818,1,19
768,1,69.9
721,1,96
801,1,199
665,1,96
629,1,198
819,1,29
818,1,2588
746,2,632
738,1,96
688,1,165
766,1,49
628,1,149
613,1,3098
626,1,99
811,1,4599
684,1,55.9
696,1,6278
786,1,199
718,1,2999
784,1,1999
766,1,4064
609,1,3899
927,3,785.5
895,1,9
653,2,109.5
687,1,139
748,1,199
651,1,69
678,1,39.9
890,1,39
664,1,3499
732,1,4499
879,1,799
730,1,2898
737,1,84
627,1,1388
785,1,1999
809,1,1780
810,1,557
889,1,137
702,1,1788
626,2,363
795,1,3199
624,1,999
782,1,799.5
748,1,3966
876,1,29.9
724,1,269
688,1,399
721,1,229
818,1,89
645,10,16449.1
879,1,598
709,1,338
784,1,89
697,1,459
930,3,3731.9
704,1,2799
660,5,9014
663,1,3699
802,1,299
889,1,5999
695,1,146
756,1,49.9
738,1,11.1
734,1,95
652,1,69
611,1,1299
811,1,39
755,1,6748
861,1,49.9
678,1,1848
864,1,1788
788,1,99
743,1,4166
766,1,1989
874,1,115
800,1,3119
707,1,59
612,1,3899
819,1,89
683,1,3999
806,1,799.5
750,1,55
792,1,299
680,1,3999
733,1,1818
875,1,599
879,1,9
695,1,9
892,1,5
612,1,498
667,9,3005.7
748,1,999
648,1,59
610,1,69
823,1,198
696,1,68
815,1,417
680,1,9488
895,1,1989
805,1,2899
620,2,898
777,1,1120
745,1,2499
800,1,399
881,1,2399
653,1,3799
680,1,3188
812,1,299
812,1,688
658,1,119
664,1,99
888,1,129
730,1,19.8
746,1,729
756,3,2697
913,4,5646
809,1,1298
653,1,6748
922,3,6754.5
663,1,19
780,1,119
922,3,3456
783,1,2199
783,1,258
791,1,19
929,3,4631
881,1,1999
752,1,3699
651,1,1999
751,1,1482
733,2,2585
630,1,110
644,1,2088
880,1,3599
665,1,59
706,1,159
655,17,15709.9
625,1,79
666,1,29
789,1,870
775,1,796
678,1,299
698,1,39
885,1,179
821,1,539
617,1,19.5
924,3,431.9
614,2,338
807,1,193.2
613,1,55
866,1,1598
735,2,5298
662,1,1899
719,1,527
900,1,358
790,1,50
666,1,948
742,1,788
744,1,3768
810,1,1398
710,1,2699
620,1,3238
885,1,1238
643,1,5498
917,4,429.9
929,3,7324.9
774,1,2199
735,1,3149
762,1,200.9
823,1,89
920,4,5205.5
732,1,518
770,1,3966
917,4,4003.1
649,1,1899
686,1,299
786,1,88
624,1,1899
626,1,1999
620,1,69
714,1,2299
815,1,79
789,1,198
679,2,457
622,1,338
789,4,1321.4
666,2,398
614,1,356
689,1,3699
609,1,3599
632,1,279
776,1,96
818,1,96
650,1,95
726,1,96
821,1,2566
734,1,6999
825,16,20232.7
928,3,383
724,1,96
769,2,35.8
646,1,39
794,1,49
927,3,97.9
652,1,2798
781,1,339
916,4,7175
627,1,5888
734,1,53
682,1,1038
790,1,2180
624,1,940
620,1,316
725,1,199.4
861,1,199.4
814,1,294.9
687,1,69
872,1,199.4
900,10,16880.4
677,1,199.4
658,1,199.4
746,1,199.4
820,1,199
665,1,294.9
884,1,199.4
820,1,199.4
696,1,199.4
760,1,199.4
778,1,199.4
698,1,2399
659,1,101.7
736,1,129
650,1,199.4
735,1,123.8
890,1,125.9
706,1,3159
614,1,1548
809,1,3999
707,2,6564.6
805,1,5299
874,1,49
728,1,169
624,1,56
706,1,99
805,1,36.8
706,1,49
750,1,79
678,1,87.9
711,1,49
782,1,3559
787,1,6596
697,1,3966
787,1,467
700,1,399
887,1,179
654,1,5546
742,1,818
700,1,49.9
690,1,5699
701,1,459
751,1,3098
896,1,1818
768,1,439
795,1,649
699,1,1099
791,1,99
756,1,4088
629,1,99
894,1,89
622,1,39
919,4,6792
767,1,3099
866,1,4166
727,1,156
741,1,3588
677,1,1799
743,1,6278
892,1,88
736,1,39
920,4,6725
705,1,1498
735,1,318
927,3,324
929,3,4196
689,1,11
794,1,799
811,1,3226
893,1,89
862,1,139
745,1,3699
726,1,59
617,1,63
722,1,2998
622,3,27.9
887,1,3799
659,1,5078
664,1,4399
880,1,89
627,5,25996
822,1,358
763,1,55
885,1,4199
871,1,1818
788,1,4747
615,2,1115.6
792,1,299
666,1,39
748,1,466
768,1,2771
661,1,39
617,1,685
724,1,399
667,9,24778.1
820,1,1499
721,1,2469
896,1,3799
767,1,328
875,1,1899
820,1,10
789,1,6278
617,1,658
817,1,176
927,3,3258.1
771,1,1548
769,1,10
792,1,2222
821,1,69
726,1,9
654,2,3704
818,1,25
762,1,48.5
756,2,2796
752,1,599
656,1,3199
780,1,99
710,1,49
924,3,4492
725,1,788
700,1,1248
863,1,99
766,1,799
718,1,2398
868,1,33.8
701,1,4988
745,1,499
804,1,1252
818,1,3699
927,3,4377
746,1,63
861,1,29
706,1,149
665,1,89
705,1,299
620,2,3007
706,1,257
718,2,3804
896,1,1698
803,1,189
794,1,1108
668,8,22928
863,1,1238
686,1,348
793,1,4257
871,1,25
761,1,1588
914,4,3718.9
644,1,20.1
792,1,96
710,2,77
747,1,859
793,1,96
713,1,899
803,1,289
611,1,283
630,1,5818
900,10,6021.9
815,1,32.9
765,1,49
732,1,69
718,2,249
681,1,8576
868,1,368
636,1,79
656,1,3966
889,1,468
609,1,369
809,1,788
656,3,317
725,1,78
737,1,203.9
696,1,888
611,1,1038
661,1,299
733,1,399
794,1,99
732,1,149
704,1,9
883,1,2
801,1,5699
740,1,354
899,1,6488
870,1,1199
786,1,1999
913,4,4856
776,1,398
690,1,699
678,2,4598
823,1,2689
779,1,238
814,1,2041
770,1,95
738,1,95
644,1,95
624,1,95
924,3,204.1
887,1,95
916,4,1000.9
727,1,95
807,1,95
815,1,95
924,3,1007
753,1,95
609,1,95
759,1,1838
618,1,59
713,1,1798
662,1,49
760,1,7898
735,1,1447.9
779,1,11288
770,1,19
794,1,3999
806,1,1549
700,1,188
812,1,179
683,1,96
801,1,3588
881,1,3999
866,1,23.9
788,1,699
717,1,3999
898,1,279
710,1,168
785,1,989
629,1,3198
811,1,99
613,1,600
763,1,2999
787,1,699
767,1,5
773,1,699
810,1,718
677,1,39
919,4,2256
925,3,5986
627,1,1549
743,1,718
860,1,8874
609,1,808
724,1,1049
748,1,33.8
619,1,169
887,1,3299
785,1,5016
755,1,1199
915,4,4095.1
623,1,240
821,1,69
800,1,29
778,1,4299
806,1,99
789,1,1488
701,1,6999
917,4,5626.8
645,1,2466
695,1,3790
895,1,4327
731,1,139
630,1,428
784,1,546
751,1,487
609,1,48.5
658,1,5199
644,1,3699
737,1,999
728,1,4288
764,1,2699
696,1,250
865,1,138
866,1,119
721,1,212
707,1,212
735,1,212
628,1,212
768,1,3699
863,1,3966
781,1,212
725,1,212
727,1,212
692,1,39
814,1,5999
793,1,89
766,1,50
814,1,59
881,1,6999
890,1,118
761,1,269
727,1,29
767,1,3699
867,1,499
800,1,456
784,1,1699
631,1,39.9
646,1,498
813,1,2439
620,1,99
823,1,399
714,1,88
741,1,2098
704,2,10198
609,1,776
611,1,2999
724,1,35.9
645,1,208
897,1,66.9
636,53,46550.4
823,2,6697
616,1,3746
645,1,99
744,2,798
783,1,1789
875,1,18.6
865,1,1848
617,1,5818
787,1,33
666,2,276
816,1,23999
740,1,99
745,1,95
886,1,39
771,1,3199
693,1,179
661,1,1699
792,2,18976
628,1,29
861,1,239
701,1,99
757,1,2699
755,1,1788
810,1,539
745,1,688
783,1,189
730,1,479.7
709,1,419
804,1,109
622,1,5166
748,1,2566
815,1,4494
683,1,29.9
740,1,1099
718,1,1599
863,1,4599
644,1,129
651,1,39
865,1,96
793,1,1
786,1,129
622,1,3199
769,1,1299
809,1,96
811,1,29
662,1,1576
739,1,12.9
794,1,3999
879,1,889
621,6,1094
668,8,3614.3
758,1,78
619,1,1248
786,1,3799
623,1,3999
612,1,5
661,1,339
706,2,2388
656,1,3099
682,1,3199
826,16,20434.3
681,1,3699
815,1,49.5
863,1,2499
694,1,299
786,1,5
825,16,8307.8
720,1,3079
701,1,1888
733,1,2998
613,1,1099
678,1,199
724,1,119
864,1,99
651,1,2399
609,2,3636
749,1,99
867,1,2399
924,3,244
802,1,599
612,1,5818
801,1,88
650,1,449
924,3,407
648,1,279
930,3,3586
721,1,11
864,1,59
714,1,808
771,1,259
632,1,1386
744,1,5999
731,1,79
630,1,1549
631,1,7.9
892,1,397
746,5,1098.4
788,1,5999
668,9,4944
767,1,19
740,1,2659
719,1,99
733,1,19.8
862,1,1238
663,1,207.9
715,1,199
786,1,129.5
895,1,10
743,1,489
897,1,237
798,1,323
738,1,164
665,1,89
766,1,333
724,1,2698
752,1,3698
752,1,199
729,1,5818
627,1,1799
655,1,1359
647,1,95
807,1,3999
611,1,898
826,16,27027.2
885,1,97
873,1,48.5
897,1,48.5
800,1,48.5
860,1,95
714,1,97
919,4,645
744,1,95
712,1,95
864,1,95
717,1,31.9
700,1,95
679,1,48.5
808,1,97
740,1,95
861,1,69
657,2,143.5
919,4,14000
615,1,95
654,1,95
792,1,48.5
887,1,95
867,1,95
860,1,699
714,1,899
752,1,4687
610,1,177
618,1,2988
915,4,866
689,1,5
745,2,996
732,1,2499
808,1,1459
699,1,6798
824,1,3699
924,3,571
899,1,989
702,1,3199
631,1,29
613,1,59
879,1,99
879,1,599
654,1,45
647,1,2499
811,1,3699
723,1,159
609,1,4588
644,1,6099
760,1,69
812,1,829
762,1,5599
611,1,1788
649,2,134.9
680,1,59
712,1,2899
644,1,2188
761,1,118
685,1,599
645,1,99
622,1,2299
763,1,359
718,1,498
737,1,2999
758,1,49.5
788,1,189
722,1,4166
815,1,96
687,1,28.8
618,1,594
810,1,98
665,1,798
770,1,67
769,1,3699
815,1,99
688,4,8134
611,1,297
714,1,798
710,2,1985
722,2,268.9
774,1,899
781,1,445
783,1,149
705,1,538
886,1,875
771,1,49
696,1,39
702,1,2999
804,1,1499
699,1,25
817,1,899
645,1,199
666,1,349
